               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  16,            0.036622,            0.021649,                   0,             0.17227,             0.57143,             0.20864,             0.07063,            0.050151,           0.0077389,                   0,            0.023069,           0.0070694,           0.0070694
                  17,            0.069819,            0.021191,                   0,              0.3519,             0.71429,             0.45077,             0.19997,            0.044877,           0.0075563,                   0,            0.018402,           0.0074021,           0.0074021
                  18,            0.075175,            0.021918,                   0,             0.30374,             0.57143,             0.38828,             0.11223,             0.04177,           0.0077368,                   0,            0.013725,           0.0077249,           0.0077249
                  19,             0.04811,            0.022138,                   0,             0.31421,             0.42857,             0.46991,              0.1335,            0.032489,           0.0080103,                   0,           0.0090378,           0.0080378,           0.0080378
                  20,            0.052435,            0.022088,                   0,             0.42805,             0.85714,             0.56708,              0.2417,            0.038577,           0.0074875,                   0,             0.00802,             0.00802,             0.00802
                  21,            0.052971,            0.020525,                   0,             0.52457,             0.71429,             0.60584,             0.26203,            0.037986,           0.0069334,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.043839,            0.020691,                   0,             0.68447,             0.85714,             0.81452,              0.2765,            0.038098,           0.0070173,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.049327,            0.022577,                   0,             0.51755,             0.85714,             0.57737,             0.32977,            0.036249,           0.0079129,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.048444,            0.021362,                   0,             0.34151,             0.71429,             0.36144,             0.13705,            0.037614,           0.0079862,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.059346,            0.018004,                   0,             0.45235,             0.85714,             0.64195,             0.28791,            0.043099,           0.0076412,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.059829,            0.018505,                   0,             0.34103,             0.71429,             0.43272,             0.24966,            0.039361,           0.0068496,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.057934,            0.019497,                   0,             0.46616,             0.71429,             0.66523,             0.22104,            0.043434,           0.0064687,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.058158,            0.019059,                   0,             0.74724,             0.57143,             0.70409,             0.26894,            0.041078,           0.0059559,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.048775,            0.016996,                   0,               0.831,              0.7043,             0.81833,             0.33685,            0.036016,           0.0061586,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.058349,            0.019342,                   0,             0.82873,             0.69457,             0.76167,             0.28696,            0.034321,            0.006338,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.054569,             0.01823,                   0,             0.74266,             0.82779,             0.86111,             0.38477,            0.031432,           0.0057137,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.053548,            0.019802,                   0,             0.81725,             0.71429,             0.77949,               0.426,            0.028428,           0.0053318,                   0,            0.006931,            0.006931,            0.006931
                  33,             0.04733,            0.018387,                   0,             0.52567,             0.71429,             0.58693,             0.20863,              0.0386,           0.0053011,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.049875,            0.015283,                   0,             0.91601,             0.71429,             0.81563,             0.29935,            0.031653,           0.0054659,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.048947,            0.016061,                   0,                   1,             0.55079,              0.7122,             0.26753,            0.036132,           0.0052968,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.044749,            0.017814,                   0,             0.81506,             0.71429,             0.75691,              0.3512,            0.029975,           0.0052658,                   0,            0.006535,            0.006535,            0.006535
                  37,            0.054459,            0.016974,                   0,              0.8486,             0.80587,               0.933,             0.34043,            0.031118,           0.0051968,                   0,            0.006436,            0.006436,            0.006436
                  38,            0.039506,            0.018907,                   0,             0.96439,             0.71429,               0.918,             0.45736,             0.02686,           0.0054101,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.034651,            0.016384,                   0,             0.65749,             0.85714,             0.80867,             0.43332,            0.022068,           0.0055707,                   0,            0.006238,            0.006238,            0.006238
                  40,             0.04555,             0.01577,                   0,             0.74131,             0.71429,             0.81087,             0.28113,            0.029896,           0.0052895,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.061249,            0.016669,                   0,             0.92225,             0.85714,             0.96389,             0.56067,            0.022718,           0.0056361,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.053768,             0.01843,                   0,             0.72566,             0.71429,             0.88767,             0.51361,            0.023974,           0.0054904,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.055382,            0.016514,                   0,             0.92616,                   1,               0.995,             0.58125,            0.020596,           0.0052615,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.042107,            0.016073,                   0,             0.85024,                   1,              0.9775,               0.385,             0.02372,           0.0053196,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.054996,            0.017079,                   0,                   1,             0.68184,              0.8269,              0.5476,            0.018683,            0.005445,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.046833,            0.015493,                   0,             0.98347,                   1,               0.995,             0.53394,            0.019544,           0.0055664,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.041853,            0.015027,                   0,             0.98192,                   1,               0.995,             0.58379,            0.023777,           0.0057167,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.054089,            0.016591,                   0,             0.87486,             0.99886,                0.96,             0.54653,              0.0224,           0.0056525,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.039202,            0.016804,                   0,                   1,             0.99009,               0.995,             0.63023,            0.020943,           0.0056369,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.037323,            0.016539,                   0,                   1,             0.98616,               0.995,             0.62968,            0.018343,            0.005609,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.036523,            0.014958,                   0,             0.99043,             0.85714,             0.96389,             0.60408,            0.022915,           0.0056732,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.042065,            0.017061,                   0,             0.99632,             0.85714,              0.9775,             0.66789,            0.017239,           0.0056403,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.046459,               0.015,                   0,                   1,             0.97601,               0.995,              0.5822,            0.024387,           0.0053782,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.056164,            0.015237,                   0,                   1,             0.97126,               0.995,             0.67769,            0.021006,           0.0054091,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.042828,            0.015743,                   0,                   1,              0.9875,               0.995,               0.605,            0.017898,           0.0052063,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.039516,            0.016035,                   0,                   1,             0.98654,               0.995,             0.59618,            0.020131,           0.0051323,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.045956,             0.01623,                   0,                   1,              0.9941,               0.995,             0.69093,            0.018009,           0.0047865,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.039984,            0.014768,                   0,                   1,             0.99645,               0.995,             0.65708,            0.016976,           0.0046896,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.027988,            0.014347,                   0,             0.99544,                   1,               0.995,             0.61778,            0.017571,           0.0046758,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.040536,            0.015444,                   0,             0.99329,                   1,               0.995,             0.69816,            0.016652,           0.0046266,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.028259,            0.013912,                   0,             0.99357,                   1,               0.995,             0.56164,            0.021144,           0.0045598,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.041262,            0.015127,                   0,              0.9873,                   1,               0.995,             0.61493,            0.017444,           0.0047429,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.031124,            0.013949,                   0,             0.98665,                   1,               0.995,             0.48637,            0.023453,           0.0047529,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.039817,            0.014423,                   0,             0.98648,                   1,               0.995,             0.63339,            0.016412,           0.0047843,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.038456,            0.012831,                   0,             0.98434,                   1,               0.995,             0.47015,            0.021724,           0.0049015,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.028638,             0.01468,                   0,             0.99531,                   1,               0.995,             0.62032,            0.015463,           0.0049324,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.031268,            0.014887,                   0,                   1,             0.98336,               0.995,             0.62473,            0.021837,           0.0046671,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.038013,            0.015613,                   0,                   1,             0.97803,               0.995,             0.65666,            0.019072,            0.004527,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.042978,            0.014952,                   0,             0.98665,             0.85714,              0.9775,             0.59959,            0.019361,           0.0044512,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.036485,            0.014194,                   0,             0.98652,             0.85714,             0.96389,             0.55852,            0.019679,           0.0043122,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.037499,            0.013597,                   0,             0.98846,             0.85714,              0.9775,             0.64413,            0.017315,           0.0040386,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.037597,            0.016277,                   0,             0.98769,             0.85714,             0.96389,             0.54442,            0.018527,           0.0039183,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.026312,            0.014688,                   0,             0.98882,             0.85714,              0.9775,             0.61417,            0.018056,           0.0038729,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.038245,            0.014973,                   0,             0.98933,             0.85714,             0.96389,             0.65932,            0.016566,           0.0038537,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.029396,            0.014115,                   0,             0.98897,             0.85714,             0.96389,             0.53365,            0.018573,             0.00395,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.033908,            0.012904,                   0,             0.98892,             0.85714,               0.953,             0.57432,            0.016147,           0.0039887,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.023238,             0.01337,                   0,             0.98886,             0.85714,             0.87008,             0.66894,            0.016008,            0.003902,                   0,            0.002476,            0.002476,            0.002476
                  78,             0.03876,            0.014435,                   0,             0.98933,             0.85714,             0.94409,             0.61927,            0.015304,           0.0038837,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.039016,            0.013142,                   0,             0.99038,             0.85714,             0.87678,             0.62845,            0.013794,           0.0039627,                   0,            0.002278,            0.002278,            0.002278
                  80,             0.02987,            0.012672,                   0,             0.99079,             0.85714,               0.953,             0.61733,            0.014526,           0.0041026,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.035628,            0.013067,                   0,             0.98928,             0.85714,             0.92033,             0.58737,            0.013795,            0.004104,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.029697,            0.012336,                   0,             0.99018,             0.85714,             0.91265,             0.65153,            0.013041,           0.0041436,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.025132,            0.013237,                   0,             0.99085,             0.85714,             0.89955,             0.58998,            0.015467,           0.0041781,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.029815,            0.013193,                   0,             0.99103,             0.85714,             0.89955,             0.61305,            0.014946,           0.0041768,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.026579,            0.013757,                   0,             0.99079,             0.85714,             0.89583,             0.62576,            0.014449,           0.0041557,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.031345,            0.012896,                   0,             0.99044,             0.85714,               0.904,             0.56974,             0.01595,           0.0041354,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.026501,            0.013187,                   0,              0.9905,             0.85714,             0.90658,              0.6526,            0.013623,            0.004032,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.026889,            0.011642,                   0,              0.9904,             0.85714,               0.925,             0.64783,            0.013711,           0.0039879,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.021252,            0.012754,                   0,             0.99026,             0.85714,             0.93038,             0.62559,            0.014503,           0.0039944,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.038128,            0.013876,                   0,             0.99015,             0.85714,             0.94409,             0.58098,            0.014923,            0.003984,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.028752,            0.012303,                   0,              0.9903,             0.85714,             0.93667,             0.61355,            0.013187,           0.0039658,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.034183,            0.013764,                   0,              0.9903,             0.85714,             0.94409,             0.60711,            0.013944,           0.0039584,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.028904,            0.014398,                   0,             0.99018,             0.85714,             0.93667,             0.60416,            0.013938,           0.0039537,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.030474,            0.014032,                   0,             0.98995,             0.85714,             0.93667,             0.63709,            0.012939,           0.0039481,                   0,            0.000793,            0.000793,            0.000793
                  95,             0.03072,            0.011761,                   0,             0.98986,             0.85714,             0.93038,             0.63462,            0.013248,           0.0039712,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.025764,            0.014419,                   0,             0.98986,             0.85714,             0.93038,             0.61049,            0.013805,           0.0039522,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.024519,            0.011959,                   0,              0.9898,             0.85714,             0.93667,               0.619,            0.014145,           0.0039415,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.031616,            0.012808,                   0,             0.98974,             0.85714,             0.93667,             0.61901,            0.014197,           0.0039307,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.027437,            0.012485,                   0,             0.98915,             0.85714,             0.93667,             0.61825,            0.014198,           0.0039421,                   0,            0.000298,            0.000298,            0.000298
