               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1184,            0.032681,                   0,           0.0011111,             0.14286,           0.0029314,          0.00029314,            0.082217,            0.024446,                   0,              0.0964,              0.0004,              0.0004
                   1,             0.11254,            0.031136,                   0,           0.0086077,             0.14286,            0.031645,           0.0041549,            0.066635,            0.022318,                   0,            0.091891,          0.00089109,          0.00089109
                   2,             0.10331,            0.031338,                   0,              0.0025,             0.42857,            0.056126,            0.007628,            0.053519,            0.020822,                   0,            0.087372,           0.0013723,           0.0013723
                   3,            0.096344,            0.029674,                   0,           0.0027778,             0.71429,            0.020299,           0.0052528,            0.045857,            0.019307,                   0,            0.082844,           0.0018436,           0.0018436
                   4,            0.086577,            0.032014,                   0,           0.0058369,                   1,            0.082893,            0.018964,            0.047386,            0.017509,                   0,            0.078305,            0.002305,            0.002305
                   5,            0.086955,            0.027733,                   0,           0.0033333,                   1,            0.035346,            0.011035,            0.048369,            0.016266,                   0,            0.073756,           0.0027564,           0.0027564
                   6,            0.074715,            0.029071,                   0,            0.083859,             0.42857,             0.18944,            0.047491,            0.049185,            0.014985,                   0,            0.069198,            0.003198,            0.003198
                   7,            0.076899,            0.027995,                   0,             0.52119,             0.14286,             0.35696,             0.10954,            0.043971,            0.013995,                   0,             0.06463,           0.0036297,           0.0036297
                   8,            0.065334,            0.025408,                   0,             0.14274,             0.14286,              0.3026,             0.10124,            0.040905,            0.012302,                   0,            0.060052,           0.0040515,           0.0040515
                   9,            0.066426,            0.029474,                   0,               0.331,             0.57143,             0.41335,             0.13069,            0.045236,            0.012076,                   0,            0.055463,           0.0044634,           0.0044634
                  10,            0.058432,            0.025062,                   0,             0.38477,             0.57143,             0.39968,             0.11699,            0.039404,             0.01237,                   0,            0.050865,           0.0048654,           0.0048654
                  11,            0.057086,            0.022971,                   0,              0.2962,             0.42857,             0.20706,            0.060103,            0.049525,            0.011675,                   0,            0.046257,           0.0052575,           0.0052575
                  12,            0.057701,            0.023372,                   0,             0.35429,             0.42857,             0.38216,            0.085125,            0.048345,            0.011108,                   0,             0.04164,           0.0056397,           0.0056397
                  13,            0.052257,            0.022911,                   0,             0.48521,             0.71429,             0.42453,             0.14043,            0.042506,            0.010978,                   0,            0.037012,            0.006012,            0.006012
                  14,            0.055748,            0.024566,                   0,             0.73877,             0.57143,             0.58069,              0.2868,            0.035985,            0.012182,                   0,            0.032374,           0.0063744,           0.0063744
                  15,            0.051262,            0.022411,                   0,             0.60954,             0.42857,             0.54535,             0.13763,            0.038703,           0.0098177,                   0,            0.027727,           0.0067268,           0.0067268
