               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11595,            0.032781,                   0,                   0,                   0,                   0,                   0,            0.085817,            0.026704,                   0,              0.0982,              0.0002,              0.0002
                   1,              0.0994,            0.030593,                   0,                   0,                   0,                   0,                   0,            0.085382,            0.025314,                   0,            0.095335,            0.000335,            0.000335
                   2,              0.1111,             0.03114,                   0,                   0,                   0,                   0,                   0,            0.084161,            0.024268,                   0,            0.092272,            0.000272,            0.000272
